DEBUG 2023-09-15 21:19:34,671 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-15 21:19:34,675 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-15 21:19:34,676 __init__ interactive is False
DEBUG 2023-09-15 21:19:34,676 __init__ platform is win32
DEBUG 2023-09-15 21:19:34,724 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-15 21:19:34,725 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
INFO 2023-09-16 10:54:08,138 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-16 10:54:09,121 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 10:54:09,133 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 10:54:09,135 __init__ interactive is False
DEBUG 2023-09-16 10:54:09,135 __init__ platform is win32
DEBUG 2023-09-16 10:54:09,205 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 10:54:09,213 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
INFO 2023-09-16 11:32:01,652 autoreload Watching for file changes with StatReloader
DEBUG 2023-09-16 11:32:01,918 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:32:01,928 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:32:01,931 __init__ interactive is False
DEBUG 2023-09-16 11:32:01,931 __init__ platform is win32
DEBUG 2023-09-16 11:32:01,982 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:32:01,983 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:33:16,376 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:33:16,380 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:33:16,381 __init__ interactive is False
DEBUG 2023-09-16 11:33:16,381 __init__ platform is win32
DEBUG 2023-09-16 11:33:16,426 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:33:16,427 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:33:38,832 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
